Timestep;Y;M;D;H;AvgOfCorrectedUpscaled;AvgOfMonitoredCapacity;capacity_factor
1;2015;1;20;0;0;2915.88;0
2;2015;1;20;1;0;2915.88;0
3;2015;1;20;2;0;2915.88;0
4;2015;1;20;3;0;2915.88;0
5;2015;1;20;4;0;2915.88;0
6;2015;1;20;5;0;2915.88;0
7;2015;1;20;6;0;2915.88;0
8;2015;1;20;7;0;2915.88;0
9;2015;1;20;8;0.13;2915.88;4.45835E-05
10;2015;1;20;9;36.56;2915.88;0.012538239
11;2015;1;20;10;192.94;2915.88;0.066168704
12;2015;1;20;11;467.17;2915.88;0.160215784
13;2015;1;20;12;651.61;2915.88;0.223469416
14;2015;1;20;13;645.32;2915.88;0.221312263
15;2015;1;20;14;539.37;2915.88;0.184976748
16;2015;1;20;15;339.41;2915.88;0.116400538
17;2015;1;20;16;106.73;2915.88;0.036603015
18;2015;1;20;17;3.48;2915.88;0.001193465
19;2015;1;20;18;0;2915.88;0
20;2015;1;20;19;0;2915.88;0
21;2015;1;20;20;0;2915.88;0
22;2015;1;20;21;0;2915.88;0
23;2015;1;20;22;0;2915.88;0
24;2015;1;20;23;0;2915.88;0
25;2015;1;21;0;0;2915.88;0
26;2015;1;21;1;0;2915.88;0
27;2015;1;21;2;0;2915.88;0
28;2015;1;21;3;0;2915.88;0
29;2015;1;21;4;0;2915.88;0
30;2015;1;21;5;0;2915.88;0
31;2015;1;21;6;0;2915.88;0
32;2015;1;21;7;0;2915.88;0
33;2015;1;21;8;2.62;2915.88;0.000898528
34;2015;1;21;9;82.11;2915.88;0.028159595
35;2015;1;21;10;271.95;2915.88;0.093265155
36;2015;1;21;11;512.26;2915.88;0.175679383
37;2015;1;21;12;749.7;2915.88;0.257109346
38;2015;1;21;13;809.82;2915.88;0.277727478
39;2015;1;21;14;629.06;2915.88;0.215735901
40;2015;1;21;15;358.01;2915.88;0.122779401
41;2015;1;21;16;117.16;2915.88;0.04017998
42;2015;1;21;17;5.33;2915.88;0.001827922
43;2015;1;21;18;0;2915.88;0
44;2015;1;21;19;0;2915.88;0
45;2015;1;21;20;0;2915.88;0
46;2015;1;21;21;0;2915.88;0
47;2015;1;21;22;0;2915.88;0
48;2015;1;21;23;0;2915.88;0
49;2015;1;22;0;0;2915.88;0
50;2015;1;22;1;0;2915.88;0
51;2015;1;22;2;0;2915.88;0
52;2015;1;22;3;0;2915.88;0
53;2015;1;22;4;0;2915.88;0
54;2015;1;22;5;0;2915.88;0
55;2015;1;22;6;0;2915.88;0
56;2015;1;22;7;0;2915.88;0
57;2015;1;22;8;0.57;2915.88;0.000195481
58;2015;1;22;9;41.4;2915.88;0.014198115
59;2015;1;22;10;97.33;2915.88;0.033379289
60;2015;1;22;11;130.47;2915.88;0.04474464
61;2015;1;22;12;152.78;2915.88;0.052395846
62;2015;1;22;13;135.61;2915.88;0.046507401
63;2015;1;22;14;96.19;2915.88;0.032988326
64;2015;1;22;15;52.16;2915.88;0.017888253
65;2015;1;22;16;13.25;2915.88;0.004544083
66;2015;1;22;17;0.22;2915.88;7.54489E-05
67;2015;1;22;18;0;2915.88;0
68;2015;1;22;19;0;2915.88;0
69;2015;1;22;20;0;2915.88;0
70;2015;1;22;21;0;2915.88;0
71;2015;1;22;22;0;2915.88;0
72;2015;1;22;23;0;2915.88;0
73;2015;1;23;0;0;2915.88;0
74;2015;1;23;1;0;2915.88;0
75;2015;1;23;2;0;2915.88;0
76;2015;1;23;3;0;2915.88;0
77;2015;1;23;4;0;2915.88;0
78;2015;1;23;5;0;2915.88;0
79;2015;1;23;6;0;2915.88;0
80;2015;1;23;7;0;2915.88;0
81;2015;1;23;8;0.52;2915.88;0.000178334
82;2015;1;23;9;56.92;2915.88;0.019520694
83;2015;1;23;10;215.64;2915.88;0.073953661
84;2015;1;23;11;382.38;2915.88;0.131137084
85;2015;1;23;12;466.48;2915.88;0.159979149
86;2015;1;23;13;478.41;2915.88;0.164070538
87;2015;1;23;14;396.03;2915.88;0.135818346
88;2015;1;23;15;230.02;2915.88;0.078885276
89;2015;1;23;16;79.59;2915.88;0.027295362
90;2015;1;23;17;3.21;2915.88;0.001100868
91;2015;1;23;18;0;2915.88;0
92;2015;1;23;19;0;2915.88;0
93;2015;1;23;20;0;2915.88;0
94;2015;1;23;21;0;2915.88;0
95;2015;1;23;22;0;2915.88;0
96;2015;1;23;23;0;2915.88;0
97;2015;1;24;0;0;2915.88;0
98;2015;1;24;1;0;2915.88;0
99;2015;1;24;2;0;2915.88;0
100;2015;1;24;3;0;2915.88;0
101;2015;1;24;4;0;2915.88;0
102;2015;1;24;5;0;2915.88;0
103;2015;1;24;6;0;2915.88;0
104;2015;1;24;7;0;2915.88;0
105;2015;1;24;8;0.01;2915.88;3.4295E-06
106;2015;1;24;9;15.75;2915.88;0.005401457
107;2015;1;24;10;81.17;2915.88;0.027837222
108;2015;1;24;11;255.67;2915.88;0.087681935
109;2015;1;24;12;500.55;2915.88;0.171663443
110;2015;1;24;13;544.46;2915.88;0.186722362
111;2015;1;24;14;458.92;2915.88;0.157386449
112;2015;1;24;15;288.05;2915.88;0.098786644
113;2015;1;24;16;102.77;2915.88;0.035244935
114;2015;1;24;17;5.18;2915.88;0.001776479
115;2015;1;24;18;0;2915.88;0
116;2015;1;24;19;0;2915.88;0
117;2015;1;24;20;0;2915.88;0
118;2015;1;24;21;0;2915.88;0
119;2015;1;24;22;0;2915.88;0
120;2015;1;24;23;0;2915.88;0
121;2015;1;25;0;0;2915.88;0
122;2015;1;25;1;0;2915.88;0
123;2015;1;25;2;0;2915.88;0
124;2015;1;25;3;0;2915.88;0
125;2015;1;25;4;0;2915.88;0
126;2015;1;25;5;0;2915.88;0
127;2015;1;25;6;0;2915.88;0
128;2015;1;25;7;0;2915.88;0
129;2015;1;25;8;0.29;2915.88;9.94554E-05
130;2015;1;25;9;27;2915.88;0.00925964
131;2015;1;25;10;109.64;2915.88;0.037600999
132;2015;1;25;11;191.31;2915.88;0.065609696
133;2015;1;25;12;221.04;2915.88;0.075805589
134;2015;1;25;13;289.01;2915.88;0.099115876
135;2015;1;25;14;267.41;2915.88;0.091708164
136;2015;1;25;15;163.48;2915.88;0.056065407
137;2015;1;25;16;52.74;2915.88;0.018087164
138;2015;1;25;17;2.02;2915.88;0.000692758
139;2015;1;25;18;0;2915.88;0
140;2015;1;25;19;0;2915.88;0
141;2015;1;25;20;0;2915.88;0
142;2015;1;25;21;0;2915.88;0
143;2015;1;25;22;0;2915.88;0
144;2015;1;25;23;0;2915.88;0
145;2015;1;26;0;0;2915.88;0
146;2015;1;26;1;0;2915.88;0
147;2015;1;26;2;0;2915.88;0
148;2015;1;26;3;0;2915.88;0
149;2015;1;26;4;0;2915.88;0
150;2015;1;26;5;0;2915.88;0
151;2015;1;26;6;0;2915.88;0
152;2015;1;26;7;0;2915.88;0
153;2015;1;26;8;0.02;2915.88;6.85899E-06
154;2015;1;26;9;8.76;2915.88;0.003004239
155;2015;1;26;10;40.28;2915.88;0.013814012
156;2015;1;26;11;83.26;2915.88;0.028553987
157;2015;1;26;12;108.32;2915.88;0.037148305
158;2015;1;26;13;122.98;2915.88;0.042175947
159;2015;1;26;14;124.88;2915.88;0.042827551
160;2015;1;26;15;131.64;2915.88;0.045145891
161;2015;1;26;16;54.77;2915.88;0.018783352
162;2015;1;26;17;2.49;2915.88;0.000853945
163;2015;1;26;18;0;2915.88;0
164;2015;1;26;19;0;2915.88;0
165;2015;1;26;20;0;2915.88;0
166;2015;1;26;21;0;2915.88;0
167;2015;1;26;22;0;2915.88;0
168;2015;1;26;23;0;2915.88;0
169;2015;1;27;0;0;2915.88;0
170;2015;1;27;1;0;2915.88;0
171;2015;1;27;2;0;2915.88;0
172;2015;1;27;3;0;2915.88;0
173;2015;1;27;4;0;2915.88;0
174;2015;1;27;5;0;2915.88;0
175;2015;1;27;6;0;2915.88;0
176;2015;1;27;7;0;2915.88;0
177;2015;1;27;8;2.75;2915.88;0.000943112
178;2015;1;27;9;72.31;2915.88;0.024798689
179;2015;1;27;10;266.65;2915.88;0.091447522
180;2015;1;27;11;493.78;2915.88;0.169341674
181;2015;1;27;12;448.49;2915.88;0.153809485
182;2015;1;27;13;401.53;2915.88;0.137704569
183;2015;1;27;14;457.63;2915.88;0.156944044
184;2015;1;27;15;372.26;2915.88;0.127666433
185;2015;1;27;16;164.93;2915.88;0.056562684
186;2015;1;27;17;9.18;2915.88;0.003148278
187;2015;1;27;18;0;2915.88;0
188;2015;1;27;19;0;2915.88;0
189;2015;1;27;20;0;2915.88;0
190;2015;1;27;21;0;2915.88;0
191;2015;1;27;22;0;2915.88;0
192;2015;1;27;23;0;2915.88;0
193;2015;1;28;0;0;2915.88;0
194;2015;1;28;1;0;2915.88;0
195;2015;1;28;2;0;2915.88;0
196;2015;1;28;3;0;2915.88;0
197;2015;1;28;4;0;2915.88;0
198;2015;1;28;5;0;2915.88;0
199;2015;1;28;6;0;2915.88;0
200;2015;1;28;7;0;2915.88;0
201;2015;1;28;8;0.47;2915.88;0.000161186
202;2015;1;28;9;36.19;2915.88;0.012411348
203;2015;1;28;10;127.32;2915.88;0.043664348
204;2015;1;28;11;172.33;2915.88;0.059100512
205;2015;1;28;12;169.07;2915.88;0.057982496
206;2015;1;28;13;110.16;2915.88;0.037779332
207;2015;1;28;14;62.13;2915.88;0.021307461
208;2015;1;28;15;37.44;2915.88;0.012840035
209;2015;1;28;16;16.94;2915.88;0.005809567
210;2015;1;28;17;1.3;2915.88;0.000445835
211;2015;1;28;18;0;2915.88;0
212;2015;1;28;19;0;2915.88;0
213;2015;1;28;20;0;2915.88;0
214;2015;1;28;21;0;2915.88;0
215;2015;1;28;22;0;2915.88;0
216;2015;1;28;23;0;2915.88;0
217;2015;1;29;0;0;2915.88;0
218;2015;1;29;1;0;2915.88;0
219;2015;1;29;2;0;2915.88;0
220;2015;1;29;3;0;2915.88;0
221;2015;1;29;4;0;2915.88;0
222;2015;1;29;5;0;2915.88;0
223;2015;1;29;6;0;2915.88;0
224;2015;1;29;7;0;2915.88;0
225;2015;1;29;8;3.47;2915.88;0.001190035
226;2015;1;29;9;133.32;2915.88;0.045722046
227;2015;1;29;10;399.17;2915.88;0.136895208
228;2015;1;29;11;630;2915.88;0.216058274
229;2015;1;29;12;572.28;2915.88;0.196263221
230;2015;1;29;13;508.96;2915.88;0.174547649
231;2015;1;29;14;458.48;2915.88;0.157235552
232;2015;1;29;15;312.87;2915.88;0.107298654
233;2015;1;29;16;103;2915.88;0.035323813
234;2015;1;29;17;8.83;2915.88;0.003028245
235;2015;1;29;18;0;2915.88;0
236;2015;1;29;19;0;2915.88;0
237;2015;1;29;20;0;2915.88;0
238;2015;1;29;21;0;2915.88;0
239;2015;1;29;22;0;2915.88;0
240;2015;1;29;23;0;2915.88;0
241;2015;1;30;0;0;2915.88;0
242;2015;1;30;1;0;2915.88;0
243;2015;1;30;2;0;2915.88;0
244;2015;1;30;3;0;2915.88;0
245;2015;1;30;4;0;2915.88;0
246;2015;1;30;5;0;2915.88;0
247;2015;1;30;6;0;2915.88;0
248;2015;1;30;7;0;2915.88;0
249;2015;1;30;8;0.7;2915.88;0.000240065
250;2015;1;30;9;20.2;2915.88;0.006927583
251;2015;1;30;10;68.05;2915.88;0.023337723
252;2015;1;30;11;178.53;2915.88;0.061226799
253;2015;1;30;12;367.72;2915.88;0.126109442
254;2015;1;30;13;463.61;2915.88;0.158994883
255;2015;1;30;14;423.82;2915.88;0.145348917
256;2015;1;30;15;283.44;2915.88;0.097205646
257;2015;1;30;16;126.65;2915.88;0.043434572
258;2015;1;30;17;14.49;2915.88;0.00496934
259;2015;1;30;18;0;2915.88;0
260;2015;1;30;19;0;2915.88;0
261;2015;1;30;20;0;2915.88;0
262;2015;1;30;21;0;2915.88;0
263;2015;1;30;22;0;2915.88;0
264;2015;1;30;23;0;2915.88;0
265;2015;1;31;0;0;2915.88;0
266;2015;1;31;1;0;2915.88;0
267;2015;1;31;2;0;2915.88;0
268;2015;1;31;3;0;2915.88;0
269;2015;1;31;4;0;2915.88;0
270;2015;1;31;5;0;2915.88;0
271;2015;1;31;6;0;2915.88;0
272;2015;1;31;7;0;2915.88;0
273;2015;1;31;8;4.03;2915.88;0.001382087
274;2015;1;31;9;156.19;2915.88;0.053565304
275;2015;1;31;10;515;2915.88;0.176619065
276;2015;1;31;11;850.38;2915.88;0.291637516
277;2015;1;31;12;898.37;2915.88;0.308095669
278;2015;1;31;13;740.48;2915.88;0.25394735
279;2015;1;31;14;531.92;2915.88;0.182421773
280;2015;1;31;15;308.25;2915.88;0.105714227
281;2015;1;31;16;115.48;2915.88;0.039603825
282;2015;1;31;17;9.59;2915.88;0.003288887
283;2015;1;31;18;0;2915.88;0
284;2015;1;31;19;0;2915.88;0
285;2015;1;31;20;0;2915.88;0
286;2015;1;31;21;0;2915.88;0
287;2015;1;31;22;0;2915.88;0
288;2015;1;31;23;0;2915.88;0
289;2015;2;1;0;0;2915.88;0
290;2015;2;1;1;0;2915.88;0
291;2015;2;1;2;0;2915.88;0
292;2015;2;1;3;0;2915.88;0
293;2015;2;1;4;0;2915.88;0
294;2015;2;1;5;0;2915.88;0
295;2015;2;1;6;0;2915.88;0
296;2015;2;1;7;0;2915.88;0
297;2015;2;1;8;1.35;2915.88;0.000462982
298;2015;2;1;9;49.18;2915.88;0.016866263
299;2015;2;1;10;119.92;2915.88;0.041126521
300;2015;2;1;11;173.71;2915.88;0.059573782
301;2015;2;1;12;192.6;2915.88;0.066052101
302;2015;2;1;13;186.94;2915.88;0.064111006
303;2015;2;1;14;184.76;2915.88;0.063363376
304;2015;2;1;15;138.41;2915.88;0.04746766
305;2015;2;1;16;61.7;2915.88;0.021159993
306;2015;2;1;17;8.82;2915.88;0.003024816
307;2015;2;1;18;0;2915.88;0
308;2015;2;1;19;0;2915.88;0
309;2015;2;1;20;0;2915.88;0
310;2015;2;1;21;0;2915.88;0
311;2015;2;1;22;0;2915.88;0
312;2015;2;1;23;0;2915.88;0
313;2015;2;2;0;0;2915.88;0
314;2015;2;2;1;0;2915.88;0
315;2015;2;2;2;0;2915.88;0
316;2015;2;2;3;0;2915.88;0
317;2015;2;2;4;0;2915.88;0
318;2015;2;2;5;0;2915.88;0
319;2015;2;2;6;0;2915.88;0
320;2015;2;2;7;0;2915.88;0
321;2015;2;2;8;5.01;2915.88;0.001718178
322;2015;2;2;9;135.62;2915.88;0.04651083
323;2015;2;2;10;408.61;2915.88;0.140132653
324;2015;2;2;11;701.87;2915.88;0.240706065
325;2015;2;2;12;739.63;2915.88;0.253655843
326;2015;2;2;13;676.07;2915.88;0.231857964
327;2015;2;2;14;571.26;2915.88;0.195913412
328;2015;2;2;15;365.94;2915.88;0.125498992
329;2015;2;2;16;157.58;2915.88;0.054042004
330;2015;2;2;17;16.93;2915.88;0.005806137
331;2015;2;2;18;0;2915.88;0
332;2015;2;2;19;0;2915.88;0
333;2015;2;2;20;0;2915.88;0
334;2015;2;2;21;0;2915.88;0
335;2015;2;2;22;0;2915.88;0
336;2015;2;2;23;0;2915.88;0
337;2015;2;3;0;0;2915.88;0
338;2015;2;3;1;0;2915.88;0
339;2015;2;3;2;0;2915.88;0
340;2015;2;3;3;0;2915.88;0
341;2015;2;3;4;0;2915.88;0
342;2015;2;3;5;0;2915.88;0
343;2015;2;3;6;0;2915.88;0
344;2015;2;3;7;0;2915.88;0
345;2015;2;3;8;4.46;2915.88;0.001529555
346;2015;2;3;9;101.32;2915.88;0.034747658
347;2015;2;3;10;313.32;2915.88;0.107452982
348;2015;2;3;11;605.74;2915.88;0.207738316
349;2015;2;3;12;790.27;2915.88;0.271022813
350;2015;2;3;13;647.39;2915.88;0.222022168
351;2015;2;3;14;486.9;2915.88;0.16698218
352;2015;2;3;15;397.26;2915.88;0.136240174
353;2015;2;3;16;223.39;2915.88;0.07661152
354;2015;2;3;17;35.26;2915.88;0.012092404
355;2015;2;3;18;0;2915.88;0
356;2015;2;3;19;0;2915.88;0
357;2015;2;3;20;0;2915.88;0
358;2015;2;3;21;0;2915.88;0
359;2015;2;3;22;0;2915.88;0
360;2015;2;3;23;0;2915.88;0
361;2015;2;4;0;0;2915.88;0
362;2015;2;4;1;0;2915.88;0
363;2015;2;4;2;0;2915.88;0
364;2015;2;4;3;0;2915.88;0
365;2015;2;4;4;0;2915.88;0
366;2015;2;4;5;0;2915.88;0
367;2015;2;4;6;0;2915.88;0
368;2015;2;4;7;0;2915.88;0
369;2015;2;4;8;15.22;2915.88;0.005219694
370;2015;2;4;9;228.43;2915.88;0.078339987
371;2015;2;4;10;684.89;2915.88;0.23488278
372;2015;2;4;11;1159.44;2915.88;0.397629532
373;2015;2;4;12;1326.08;2915.88;0.45477866
374;2015;2;4;13;1173.26;2915.88;0.402369096
375;2015;2;4;14;859.88;2915.88;0.294895538
376;2015;2;4;15;566.24;2915.88;0.194191805
377;2015;2;4;16;256.12;2915.88;0.087836262
378;2015;2;4;17;34.75;2915.88;0.0119175
379;2015;2;4;18;0;2915.88;0
380;2015;2;4;19;0;2915.88;0
381;2015;2;4;20;0;2915.88;0
382;2015;2;4;21;0;2915.88;0
383;2015;2;4;22;0;2915.88;0
384;2015;2;4;23;0;2915.88;0
385;2015;2;5;0;0;2915.88;0
386;2015;2;5;1;0;2915.88;0
387;2015;2;5;2;0;2915.88;0
388;2015;2;5;3;0;2915.88;0
389;2015;2;5;4;0;2915.88;0
390;2015;2;5;5;0;2915.88;0
391;2015;2;5;6;0;2915.88;0
392;2015;2;5;7;0;2915.88;0
393;2015;2;5;8;8.13;2915.88;0.002788181
394;2015;2;5;9;115.64;2915.88;0.039658697
395;2015;2;5;10;306.41;2915.88;0.1050832
396;2015;2;5;11;575.51;2915.88;0.197370948
397;2015;2;5;12;727.99;2915.88;0.249663909
398;2015;2;5;13;746.28;2915.88;0.255936458
399;2015;2;5;14;583.62;2915.88;0.20015227
400;2015;2;5;15;344.06;2915.88;0.117995254
401;2015;2;5;16;157.41;2915.88;0.053983703
402;2015;2;5;17;20.41;2915.88;0.006999602
403;2015;2;5;18;0;2915.88;0
404;2015;2;5;19;0;2915.88;0
405;2015;2;5;20;0;2915.88;0
406;2015;2;5;21;0;2915.88;0
407;2015;2;5;22;0;2915.88;0
408;2015;2;5;23;0;2915.88;0
409;2015;2;6;0;0;2915.88;0
410;2015;2;6;1;0;2915.88;0
411;2015;2;6;2;0;2915.88;0
412;2015;2;6;3;0;2915.88;0
413;2015;2;6;4;0;2915.88;0
414;2015;2;6;5;0;2915.88;0
415;2015;2;6;6;0;2915.88;0
416;2015;2;6;7;0;2915.88;0
417;2015;2;6;8;12.96;2915.88;0.004444627
418;2015;2;6;9;174.67;2915.88;0.059903014
419;2015;2;6;10;428.29;2915.88;0.146881902
420;2015;2;6;11;862.73;2915.88;0.295872944
421;2015;2;6;12;1186.6;2915.88;0.406944044
422;2015;2;6;13;1338.09;2915.88;0.458897485
423;2015;2;6;14;1258.74;2915.88;0.431684431
424;2015;2;6;15;924.5;2915.88;0.317056943
425;2015;2;6;16;425.76;2915.88;0.146014239
426;2015;2;6;17;60.52;2915.88;0.020755312
427;2015;2;6;18;0;2915.88;0
428;2015;2;6;19;0;2915.88;0
429;2015;2;6;20;0;2915.88;0
430;2015;2;6;21;0;2915.88;0
431;2015;2;6;22;0;2915.88;0
432;2015;2;6;23;0;2915.88;0
433;2015;2;7;0;0;2915.88;0
434;2015;2;7;1;0;2915.88;0
435;2015;2;7;2;0;2915.88;0
436;2015;2;7;3;0;2915.88;0
437;2015;2;7;4;0;2915.88;0
438;2015;2;7;5;0;2915.88;0
439;2015;2;7;6;0;2915.88;0
440;2015;2;7;7;0;2915.88;0
441;2015;2;7;8;33.11;2915.88;0.011355063
442;2015;2;7;9;363.58;2915.88;0.124689631
443;2015;2;7;10;907.16;2915.88;0.311110197
444;2015;2;7;11;1324.59;2915.88;0.454267665
445;2015;2;7;12;1353.52;2915.88;0.464189198
446;2015;2;7;13;1126.84;2915.88;0.386449374
447;2015;2;7;14;941.74;2915.88;0.322969395
448;2015;2;7;15;472.19;2915.88;0.161937391
449;2015;2;7;16;156.47;2915.88;0.05366133
450;2015;2;7;17;23.53;2915.88;0.008069605
451;2015;2;7;18;0;2915.88;0
452;2015;2;7;19;0;2915.88;0
453;2015;2;7;20;0;2915.88;0
454;2015;2;7;21;0;2915.88;0
455;2015;2;7;22;0;2915.88;0
456;2015;2;7;23;0;2915.88;0
457;2015;2;8;0;0;2915.88;0
458;2015;2;8;1;0;2915.88;0
459;2015;2;8;2;0;2915.88;0
460;2015;2;8;3;0;2915.88;0
461;2015;2;8;4;0;2915.88;0
462;2015;2;8;5;0;2915.88;0
463;2015;2;8;6;0;2915.88;0
464;2015;2;8;7;0;2915.88;0
465;2015;2;8;8;9.19;2915.88;0.003151707
466;2015;2;8;9;99.14;2915.88;0.034000027
467;2015;2;8;10;238.06;2915.88;0.081642592
468;2015;2;8;11;414.24;2915.88;0.142063459
469;2015;2;8;12;737.75;2915.88;0.253011098
470;2015;2;8;13;776.29;2915.88;0.266228377
471;2015;2;8;14;778.61;2915.88;0.26702402
472;2015;2;8;15;623.91;2915.88;0.213969711
473;2015;2;8;16;348.45;2915.88;0.119500803
474;2015;2;8;17;59.69;2915.88;0.020470664
475;2015;2;8;18;0;2915.88;0
476;2015;2;8;19;0;2915.88;0
477;2015;2;8;20;0;2915.88;0
478;2015;2;8;21;0;2915.88;0
479;2015;2;8;22;0;2915.88;0
480;2015;2;8;23;0;2915.88;0
481;2015;2;9;0;0;2915.88;0
482;2015;2;9;1;0;2915.88;0
483;2015;2;9;2;0;2915.88;0
484;2015;2;9;3;0;2915.88;0
485;2015;2;9;4;0;2915.88;0
486;2015;2;9;5;0;2915.88;0
487;2015;2;9;6;0;2915.88;0
488;2015;2;9;7;0;2915.88;0
489;2015;2;9;8;3.58;2915.88;0.00122776
490;2015;2;9;9;81.6;2915.88;0.027984691
491;2015;2;9;10;249.26;2915.88;0.085483628
492;2015;2;9;11;300.64;2915.88;0.10310438
493;2015;2;9;12;260.04;2915.88;0.089180625
494;2015;2;9;13;227.79;2915.88;0.078120499
495;2015;2;9;14;177.1;2915.88;0.060736381
496;2015;2;9;15;103.53;2915.88;0.035505576
497;2015;2;9;16;40.44;2915.88;0.013868883
498;2015;2;9;17;4.56;2915.88;0.00156385
499;2015;2;9;18;0;2915.88;0
500;2015;2;9;19;0;2915.88;0
501;2015;2;9;20;0;2915.88;0
502;2015;2;9;21;0;2915.88;0
503;2015;2;9;22;0;2915.88;0
504;2015;2;9;23;0;2915.88;0
505;2015;2;10;0;0;2915.88;0
506;2015;2;10;1;0;2915.88;0
507;2015;2;10;2;0;2915.88;0
508;2015;2;10;3;0;2915.88;0
509;2015;2;10;4;0;2915.88;0
510;2015;2;10;5;0;2915.88;0
511;2015;2;10;6;0;2915.88;0
512;2015;2;10;7;0;2915.88;0
513;2015;2;10;8;7.77;2915.88;0.002664719
514;2015;2;10;9;82.26;2915.88;0.028211037
515;2015;2;10;10;196.03;2915.88;0.067228418
516;2015;2;10;11;269.77;2915.88;0.092517525
517;2015;2;10;12;230.08;2915.88;0.078905853
518;2015;2;10;13;171.43;2915.88;0.058791857
519;2015;2;10;14;126.12;2915.88;0.043252809
520;2015;2;10;15;82.64;2915.88;0.028341358
521;2015;2;10;16;37.42;2915.88;0.012833176
522;2015;2;10;17;4.1;2915.88;0.001406094
523;2015;2;10;18;0;2915.88;0
524;2015;2;10;19;0;2915.88;0
525;2015;2;10;20;0;2915.88;0
526;2015;2;10;21;0;2915.88;0
527;2015;2;10;22;0;2915.88;0
528;2015;2;10;23;0;2915.88;0
529;2015;2;11;0;0;2915.88;0
530;2015;2;11;1;0;2915.88;0
531;2015;2;11;2;0;2915.88;0
532;2015;2;11;3;0;2915.88;0
533;2015;2;11;4;0;2915.88;0
534;2015;2;11;5;0;2915.88;0
535;2015;2;11;6;0;2915.88;0
536;2015;2;11;7;0;2915.88;0
537;2015;2;11;8;4.04;2915.88;0.001385517
538;2015;2;11;9;54.6;2915.88;0.01872505
539;2015;2;11;10;140.56;2915.88;0.048205002
540;2015;2;11;11;251.55;2915.88;0.086268982
541;2015;2;11;12;388.46;2915.88;0.133222218
542;2015;2;11;13;520.49;2915.88;0.178501859
543;2015;2;11;14;581.09;2915.88;0.199284607
544;2015;2;11;15;488.56;2915.88;0.167551477
545;2015;2;11;16;273.17;2915.88;0.093683554
546;2015;2;11;17;51.41;2915.88;0.017631041
547;2015;2;11;18;0;2915.88;0
548;2015;2;11;19;0;2915.88;0
549;2015;2;11;20;0;2915.88;0
550;2015;2;11;21;0;2915.88;0
551;2015;2;11;22;0;2915.88;0
552;2015;2;11;23;0;2915.88;0
553;2015;2;12;0;0;2915.88;0
554;2015;2;12;1;0;2915.88;0
555;2015;2;12;2;0;2915.88;0
556;2015;2;12;3;0;2915.88;0
557;2015;2;12;4;0;2915.88;0
558;2015;2;12;5;0;2915.88;0
559;2015;2;12;6;0;2915.88;0
560;2015;2;12;7;0;2915.88;0
561;2015;2;12;8;34.55;2915.88;0.01184891
562;2015;2;12;9;269.77;2915.88;0.092517525
563;2015;2;12;10;630.7;2915.88;0.216298339
564;2015;2;12;11;952.82;2915.88;0.326769277
565;2015;2;12;12;1160.84;2915.88;0.398109662
566;2015;2;12;13;1201.14;2915.88;0.411930532
567;2015;2;12;14;1073.52;2915.88;0.368163299
568;2015;2;12;15;764.8;2915.88;0.262287886
569;2015;2;12;16;369.61;2915.88;0.126757617
570;2015;2;12;17;69.12;2915.88;0.023704679
571;2015;2;12;18;0;2915.88;0
572;2015;2;12;19;0;2915.88;0
573;2015;2;12;20;0;2915.88;0
574;2015;2;12;21;0;2915.88;0
575;2015;2;12;22;0;2915.88;0
576;2015;2;12;23;0;2915.88;0
577;2015;2;13;0;0;2915.88;0
578;2015;2;13;1;0;2915.88;0
579;2015;2;13;2;0;2915.88;0
580;2015;2;13;3;0;2915.88;0
581;2015;2;13;4;0;2915.88;0
582;2015;2;13;5;0;2915.88;0
583;2015;2;13;6;0;2915.88;0
584;2015;2;13;7;0;2915.88;0
585;2015;2;13;8;46.16;2915.88;0.015830555
586;2015;2;13;9;370.23;2915.88;0.126970246
587;2015;2;13;10;889.48;2915.88;0.305046847
588;2015;2;13;11;1306.27;2915.88;0.447984828
589;2015;2;13;12;1517.41;2915.88;0.520395215
590;2015;2;13;13;1534.59;2915.88;0.52628709
591;2015;2;13;14;1286.22;2915.88;0.441108688
592;2015;2;13;15;879.85;2915.88;0.301744242
593;2015;2;13;16;434.98;2915.88;0.149176235
594;2015;2;13;17;78.12;2915.88;0.026791226
595;2015;2;13;18;0;2915.88;0
596;2015;2;13;19;0;2915.88;0
597;2015;2;13;20;0;2915.88;0
598;2015;2;13;21;0;2915.88;0
599;2015;2;13;22;0;2915.88;0
600;2015;2;13;23;0;2915.88;0
601;2015;2;14;0;0;2915.88;0
602;2015;2;14;1;0;2915.88;0
603;2015;2;14;2;0;2915.88;0
604;2015;2;14;3;0;2915.88;0
605;2015;2;14;4;0;2915.88;0
606;2015;2;14;5;0;2915.88;0
607;2015;2;14;6;0;2915.88;0
608;2015;2;14;7;0;2915.88;0
609;2015;2;14;8;13.73;2915.88;0.004708699
610;2015;2;14;9;100.88;2915.88;0.03459676
611;2015;2;14;10;220.61;2915.88;0.07565812
612;2015;2;14;11;345.98;2915.88;0.118653717
613;2015;2;14;12;564.71;2915.88;0.193667092
614;2015;2;14;13;666.87;2915.88;0.228702827
615;2015;2;14;14;550.88;2915.88;0.188924098
616;2015;2;14;15;435.92;2915.88;0.149498608
617;2015;2;14;16;188.18;2915.88;0.064536263
618;2015;2;14;17;40.62;2915.88;0.013930614
