Timestep;year;month;day;hour;real_time_measured_MW;monitored_capacity_MW;capacity_factor
104;2015;1;24;7;379.4775;1122.51;0.338061576
105;2015;1;24;8;365.175;1122.51;0.325320042
106;2015;1;24;9;347.8975;1122.51;0.309928197
107;2015;1;24;10;296.6975;1122.51;0.264316131
108;2015;1;24;11;250.875;1122.51;0.223494668
109;2015;1;24;12;276.285;1122.51;0.246131438
110;2015;1;24;13;381.015;1122.51;0.339431275
111;2015;1;24;14;449.845;1122.51;0.400749214
112;2015;1;24;15;421.63;1122.51;0.37561358
113;2015;1;24;16;397.72;1122.51;0.354313102
114;2015;1;24;17;373.5875;1122.51;0.332814407
115;2015;1;24;18;363.265;1122.51;0.323618498
116;2015;1;24;19;305.8725;1122.51;0.272489777
117;2015;1;24;20;271.4775;1122.51;0.241848625
118;2015;1;24;21;233.395;1122.51;0.207922424
119;2015;1;24;22;210.0325;1122.51;0.187109692
120;2015;1;24;23;185.825;1122.51;0.165544182
121;2015;1;25;0;162.0875;1122.51;0.144397377
122;2015;1;25;1;153.795;1122.51;0.137009915
123;2015;1;25;2;154.025;1122.51;0.137214813
124;2015;1;25;3;137.475;1122.51;0.122471069
125;2015;1;25;4;127.3175;1122.51;0.113422152
126;2015;1;25;5;120.99;1122.51;0.107785231
127;2015;1;25;6;124.6175;1122.51;0.111016828
128;2015;1;25;7;133.7475;1122.51;0.119150386
129;2015;1;25;8;151.8225;1122.51;0.135252693
130;2015;1;25;9;151.1875;1122.51;0.134686996
131;2015;1;25;10;142.85;1122.51;0.127259445
132;2015;1;25;11;136.4675;1122.51;0.121573527
133;2015;1;25;12;112.765;1122.51;0.100457902
134;2015;1;25;13;114.4525;1122.51;0.10196123
135;2015;1;25;14;116.63;1122.51;0.103901079
136;2015;1;25;15;106.205;1122.51;0.094613856
137;2015;1;25;16;105.96;1122.51;0.094395596
138;2015;1;25;17;122.15;1122.51;0.10881863
139;2015;1;25;18;159.5575;1122.51;0.1421435
140;2015;1;25;19;175.6525;1122.51;0.156481902
141;2015;1;25;20;180.465;1122.51;0.160769169
142;2015;1;25;21;190.57;1122.51;0.169771316
143;2015;1;25;22;248.7325;1122.51;0.221585999
144;2015;1;25;23;306.5825;1122.51;0.273122288
145;2015;1;26;0;353.6975;1122.51;0.315095188
146;2015;1;26;1;330.6175;1122.51;0.294534124
147;2015;1;26;2;222.815;1122.51;0.198497118
148;2015;1;26;3;182.39;1122.51;0.162484076
149;2015;1;26;4;192.9775;1122.51;0.171916063
150;2015;1;26;5;225.9525;1122.51;0.201292193
151;2015;1;26;6;259.935;1122.51;0.231565866
152;2015;1;26;7;257.8575;1122.51;0.229715103
153;2015;1;26;8;251.665;1122.51;0.224198448
154;2015;1;26;9;242.8575;1122.51;0.216352193
155;2015;1;26;10;251.525;1122.51;0.224073728
156;2015;1;26;11;261.71;1122.51;0.233147143
157;2015;1;26;12;234.28;1122.51;0.208710836
158;2015;1;26;13;242.665;1122.51;0.216180702
159;2015;1;26;14;250.3375;1122.51;0.223015831
160;2015;1;26;15;287.9325;1122.51;0.256507737
161;2015;1;26;16;344.9925;1122.51;0.307340246
162;2015;1;26;17;352.1625;1122.51;0.313727717
163;2015;1;26;18;398.48;1122.51;0.354990156
164;2015;1;26;19;437.03;1122.51;0.389332834
165;2015;1;26;20;388.29;1122.51;0.345912286
166;2015;1;26;21;418.455;1122.51;0.372785098
167;2015;1;26;22;375.17;1122.51;0.334224194
168;2015;1;26;23;340.1675;1122.51;0.303041844
169;2015;1;27;0;323.095;1122.51;0.287832625
170;2015;1;27;1;296.55;1122.51;0.264184729
171;2015;1;27;2;295.615;1122.51;0.263351774
172;2015;1;27;3;282.9925;1122.51;0.252106885
173;2015;1;27;4;268.0875;1122.51;0.238828607
174;2015;1;27;5;266.315;1122.51;0.237249557
175;2015;1;27;6;265.7825;1122.51;0.236775173
176;2015;1;27;7;204.8725;1122.51;0.182512851
177;2015;1;27;8;162.255;1122.51;0.144546596
178;2015;1;27;9;153.8175;1122.51;0.13702996
179;2015;1;27;10;138.3775;1122.51;0.123275071
180;2015;1;27;11;105.0275;1122.51;0.093564868
181;2015;1;27;12;100.88;1122.51;0.089870023
182;2015;1;27;13;105.205;1122.51;0.093722996
183;2015;1;27;14;98.14;1122.51;0.087429065
184;2015;1;27;15;106.97;1122.51;0.095295365
185;2015;1;27;16;100.7625;1122.51;0.089765347
186;2015;1;27;17;133.0425;1122.51;0.118522329
187;2015;1;27;18;149.215;1122.51;0.132929773
188;2015;1;27;19;129.71;1122.51;0.115553536
189;2015;1;27;20;101.855;1122.51;0.090738613
190;2015;1;27;21;116.03;1122.51;0.103366562
191;2015;1;27;22;148.695;1122.51;0.132466526
192;2015;1;27;23;163.185;1122.51;0.145375097
193;2015;1;28;0;212.1225;1122.51;0.18897159
194;2015;1;28;1;227.6075;1122.51;0.202766568
195;2015;1;28;2;285.1775;1122.51;0.254053416
196;2015;1;28;3;377.1475;1122.51;0.335985871
197;2015;1;28;4;407.7275;1122.51;0.36322839
198;2015;1;28;5;506.7725;1122.51;0.451463684
199;2015;1;28;6;599.9925;1122.51;0.534509715
200;2015;1;28;7;648.6925;1122.51;0.577894629
201;2015;1;28;8;722.3175;1122.51;0.643484245
202;2015;1;28;9;569.6775;1122.51;0.507503274
203;2015;1;28;10;450.06;1122.51;0.400940749
204;2015;1;28;11;958.5875;1122.51;0.853967893
205;2015;1;28;12;999.1775;1122.51;0.890127928
206;2015;1;28;13;1004.2075;1122.51;0.894608957
207;2015;1;28;14;1006.8325;1122.51;0.896947466
208;2015;1;28;15;1009.6875;1122.51;0.899490873
209;2015;1;28;16;988.9025;1122.51;0.880974334
210;2015;1;28;17;952.6825;1122.51;0.848707361
211;2015;1;28;18;750.9175;1122.51;0.66896286
212;2015;1;28;19;663.975;1122.51;0.591509207
213;2015;1;28;20;634.7725;1122.51;0.565493849
214;2015;1;28;21;693.68;1122.51;0.617972223
215;2015;1;28;22;722.1825;1122.51;0.643363979
216;2015;1;28;23;699.5275;1122.51;0.623181531
217;2015;1;29;0;737.385;1122.51;0.656907288
218;2015;1;29;1;722.24;1122.51;0.643415203
219;2015;1;29;2;760.77;1122.51;0.677740065
220;2015;1;29;3;783.39;1122.51;0.697891333
221;2015;1;29;4;818.795;1122.51;0.729432255
222;2015;1;29;5;857.0725;1122.51;0.763532173
223;2015;1;29;6;832.8575;1122.51;0.741959983
224;2015;1;29;7;797.42;1122.51;0.710390108
225;2015;1;29;8;818.23;1122.51;0.728928918
226;2015;1;29;9;776.595;1122.51;0.691837935
227;2015;1;29;10;739.045;1122.51;0.658386117
228;2015;1;29;11;785.5975;1122.51;0.699857908
229;2015;1;29;12;521.6675;1122.51;0.464733054
230;2015;1;29;13;647.6625;1122.51;0.576977043
231;2015;1;29;14;524.605;1122.51;0.467349957
232;2015;1;29;15;496.585;1122.51;0.442388041
233;2015;1;29;16;0;1122.51;0
234;2015;1;29;17;128.93;1122.51;0.114858665
235;2015;1;29;18;370.88;1122.51;0.330402402
236;2015;1;29;19;279.3375;1122.51;0.24885079
237;2015;1;29;20;229.8025;1122.51;0.204722007
238;2015;1;29;21;217.565;1122.51;0.1938201
239;2015;1;29;22;257.2725;1122.51;0.229193949
240;2015;1;29;23;374.975;1122.51;0.334050476
241;2015;1;30;0;413.16;1122.51;0.36806799
242;2015;1;30;1;480.1225;1122.51;0.427722247
243;2015;1;30;2;448.5825;1122.51;0.399624502
244;2015;1;30;3;441.435;1122.51;0.393257076
245;2015;1;30;4;382.2425;1122.51;0.340524806
246;2015;1;30;5;351.2475;1122.51;0.31291258
247;2015;1;30;6;235.6275;1122.51;0.20991127
248;2015;1;30;7;182.715;1122.51;0.162773606
249;2015;1;30;8;180.7075;1122.51;0.160985203
250;2015;1;30;9;219.2175;1122.51;0.195292247
251;2015;1;30;10;163.91;1122.51;0.146020971
252;2015;1;30;11;109.775;1122.51;0.097794229
253;2015;1;30;12;73.945;1122.51;0.065874692
254;2015;1;30;13;76.76;1122.51;0.068382464
255;2015;1;30;14;49.83;1122.51;0.044391587
256;2015;1;30;15;63.0325;1122.51;0.056153175
257;2015;1;30;16;84.5175;1122.51;0.075293316
258;2015;1;30;17;119.9725;1122.51;0.106878781
259;2015;1;30;18;143.14;1122.51;0.127517795
260;2015;1;30;19;187.7475;1122.51;0.167256862
261;2015;1;30;20;203.1575;1122.51;0.180985025
262;2015;1;30;21;204.145;1122.51;0.18186475
263;2015;1;30;22;238.315;1122.51;0.212305458
264;2015;1;30;23;255.2775;1122.51;0.227416682
265;2015;1;31;0;237.385;1122.51;0.211476958
266;2015;1;31;1;266.555;1122.51;0.237463363
267;2015;1;31;2;280.3475;1122.51;0.249750559
268;2015;1;31;3;244.77;1122.51;0.218055964
269;2015;1;31;4;217.66;1122.51;0.193904731
270;2015;1;31;5;203.6375;1122.51;0.181412638
271;2015;1;31;6;172.94;1122.51;0.154065443
272;2015;1;31;7;152.27;1122.51;0.135651353
273;2015;1;31;8;130.93;1122.51;0.116640386
274;2015;1;31;9;143.845;1122.51;0.128145852
275;2015;1;31;10;129.8675;1122.51;0.115693847
