Timestep;Y;M;D;H;AvgOfRealTime
1936;2015;4;10;15;10581.75
1937;2015;4;10;16;10380.50
1938;2015;4;10;17;10376.75
1939;2015;4;10;18;10367.00
1940;2015;4;10;19;10119.25
1941;2015;4;10;20;10099.25
1942;2015;4;10;21;10262.25
1943;2015;4;10;22;10348.00
1944;2015;4;10;23;10142.50
1945;2015;4;11;0;9386.25
1946;2015;4;11;1;8802.75
1947;2015;4;11;2;8341.25
1948;2015;4;11;3;8110.50
1949;2015;4;11;4;7959.50
1950;2015;4;11;5;8138.75
1951;2015;4;11;6;8457.75
1952;2015;4;11;7;8622.00
1953;2015;4;11;8;9273.50
1954;2015;4;11;9;9867.75
1955;2015;4;11;10;10242.00
1956;2015;4;11;11;10296.75
1957;2015;4;11;12;10348.25
1958;2015;4;11;13;10049.50
1959;2015;4;11;14;9783.50
1960;2015;4;11;15;9702.75
1961;2015;4;11;16;9700.50
1962;2015;4;11;17;9754.25
1963;2015;4;11;18;9856.50
1964;2015;4;11;19;9753.75
1965;2015;4;11;20;9730.00
1966;2015;4;11;21;9736.25
1967;2015;4;11;22;9701.50
1968;2015;4;11;23;9591.00
1969;2015;4;12;0;8999.25
1970;2015;4;12;1;8581.00
1971;2015;4;12;2;8221.50
1972;2015;4;12;3;8070.00
1973;2015;4;12;4;8037.50
1974;2015;4;12;5;8130.25
1975;2015;4;12;6;8202.25
1976;2015;4;12;7;8184.50
1977;2015;4;12;8;8655.75
1978;2015;4;12;9;9069.75
1979;2015;4;12;10;9270.00
1980;2015;4;12;11;9417.75
1981;2015;4;12;12;9488.00
1982;2015;4;12;13;9162.25
1983;2015;4;12;14;8788.75
1984;2015;4;12;15;8653.75
1985;2015;4;12;16;8486.75
1986;2015;4;12;17;8561.00
1987;2015;4;12;18;8844.50
1988;2015;4;12;19;8991.50
1989;2015;4;12;20;9294.25
1990;2015;4;12;21;9492.75
1991;2015;4;12;22;9409.00
1992;2015;4;12;23;9180.25
1993;2015;4;13;0;8564.25
1994;2015;4;13;1;8282.25
1995;2015;4;13;2;8063.75
1996;2015;4;13;3;7998.50
1997;2015;4;13;4;8143.25
1998;2015;4;13;5;8631.25
1999;2015;4;13;6;9746.75
2000;2015;4;13;7;10417.50
2001;2015;4;13;8;10997.75
2002;2015;4;13;9;11434.00
2003;2015;4;13;10;11683.50
2004;2015;4;13;11;11872.25
2005;2015;4;13;12;11716.75
2006;2015;4;13;13;11611.50
2007;2015;4;13;14;11389.75
2008;2015;4;13;15;11214.25
2009;2015;4;13;16;10980.00
2010;2015;4;13;17;10906.00
2011;2015;4;13;18;10897.00
2012;2015;4;13;19;10654.75
2013;2015;4;13;20;10645.00
2014;2015;4;13;21;10725.25
2015;2015;4;13;22;10714.25
2016;2015;4;13;23;10387.00
2017;2015;4;14;0;9656.75
2018;2015;4;14;1;9100.25
2019;2015;4;14;2;8773.50
2020;2015;4;14;3;8749.00
2021;2015;4;14;4;8791.25
2022;2015;4;14;5;9174.75
2023;2015;4;14;6;10038.50
2024;2015;4;14;7;10476.25
2025;2015;4;14;8;11045.25
2026;2015;4;14;9;11242.25
2027;2015;4;14;10;11256.50
2028;2015;4;14;11;11378.50
2029;2015;4;14;12;11075.25
2030;2015;4;14;13;10926.75
2031;2015;4;14;14;10802.50
2032;2015;4;14;15;10704.50
2033;2015;4;14;16;10666.00
2034;2015;4;14;17;10618.25
2035;2015;4;14;18;10523.00
2036;2015;4;14;19;10315.00
2037;2015;4;14;20;10330.50
2038;2015;4;14;21;10499.00
2039;2015;4;14;22;10529.50
2040;2015;4;14;23;10135.25
2041;2015;4;15;0;9259.25
2042;2015;4;15;1;8714.00
2043;2015;4;15;2;8364.00
2044;2015;4;15;3;8315.50
2045;2015;4;15;4;8417.75
2046;2015;4;15;5;8857.25
2047;2015;4;15;6;9612.50
2048;2015;4;15;7;10213.00
2049;2015;4;15;8;10869.50
2050;2015;4;15;9;11198.75
2051;2015;4;15;10;11268.25
2052;2015;4;15;11;11398.50
2053;2015;4;15;12;11178.75
2054;2015;4;15;13;11101.75
2055;2015;4;15;14;11020.00
2056;2015;4;15;15;10849.00
2057;2015;4;15;16;10703.25
2058;2015;4;15;17;10707.50
2059;2015;4;15;18;10467.00
2060;2015;4;15;19;10114.25
2061;2015;4;15;20;10139.75
2062;2015;4;15;21;10407.25
2063;2015;4;15;22;10266.50
2064;2015;4;15;23;9970.50
2065;2015;4;16;0;9210.75
2066;2015;4;16;1;8732.50
2067;2015;4;16;2;8457.50
2068;2015;4;16;3;8428.50
2069;2015;4;16;4;8410.00
2070;2015;4;16;5;8827.75
2071;2015;4;16;6;9603.25
2072;2015;4;16;7;10188.50
2073;2015;4;16;8;10874.75
2074;2015;4;16;9;11159.00
2075;2015;4;16;10;11256.50
2076;2015;4;16;11;11435.00
2077;2015;4;16;12;11288.25
2078;2015;4;16;13;11201.00
2079;2015;4;16;14;11094.50
2080;2015;4;16;15;10938.00
2081;2015;4;16;16;10847.75
2082;2015;4;16;17;10829.25
2083;2015;4;16;18;10686.00
2084;2015;4;16;19;10443.25
2085;2015;4;16;20;10262.50
2086;2015;4;16;21;10350.50
2087;2015;4;16;22;10302.75
2088;2015;4;16;23;10034.75
2089;2015;4;17;0;9323.50
2090;2015;4;17;1;8824.00
2091;2015;4;17;2;8539.50
2092;2015;4;17;3;8352.75
2093;2015;4;17;4;8539.00
2094;2015;4;17;5;8899.25
2095;2015;4;17;6;9763.75
2096;2015;4;17;7;10365.25
2097;2015;4;17;8;10973.00
2098;2015;4;17;9;11296.75
2099;2015;4;17;10;11485.50
2100;2015;4;17;11;11596.50
2101;2015;4;17;12;11359.75
2102;2015;4;17;13;11150.50
2103;2015;4;17;14;10886.50
2104;2015;4;17;15;10751.50
2105;2015;4;17;16;10519.50
2106;2015;4;17;17;10538.50
2107;2015;4;17;18;10476.00
2108;2015;4;17;19;10251.75
2109;2015;4;17;20;10079.50
2110;2015;4;17;21;10219.25
2111;2015;4;17;22;10274.25
2112;2015;4;17;23;10056.75
2113;2015;4;18;0;9310.75
2114;2015;4;18;1;8757.50
2115;2015;4;18;2;8463.50
2116;2015;4;18;3;8310.50
2117;2015;4;18;4;8246.25
2118;2015;4;18;5;8414.00
2119;2015;4;18;6;8473.25
2120;2015;4;18;7;8715.00
2121;2015;4;18;8;9358.25
2122;2015;4;18;9;9909.00
2123;2015;4;18;10;10125.50
2124;2015;4;18;11;10096.00
2125;2015;4;18;12;10017.75
2126;2015;4;18;13;9734.25
2127;2015;4;18;14;9486.00
2128;2015;4;18;15;9302.00
2129;2015;4;18;16;9225.50
2130;2015;4;18;17;9381.75
2131;2015;4;18;18;9433.75
2132;2015;4;18;19;9388.50
2133;2015;4;18;20;9404.00
2134;2015;4;18;21;9615.25
2135;2015;4;18;22;9546.75
2136;2015;4;18;23;9390.50
2137;2015;4;19;0;8830.25
2138;2015;4;19;1;8359.75
2139;2015;4;19;2;8027.75
2140;2015;4;19;3;7895.25
2141;2015;4;19;4;7833.75
2142;2015;4;19;5;7916.75
2143;2015;4;19;6;8066.00
2144;2015;4;19;7;8155.50
2145;2015;4;19;8;8637.00
2146;2015;4;19;9;9210.50
2147;2015;4;19;10;9500.00
2148;2015;4;19;11;9679.25
2149;2015;4;19;12;9750.75
2150;2015;4;19;13;9442.25
2151;2015;4;19;14;9075.25
2152;2015;4;19;15;8879.25
2153;2015;4;19;16;8760.25
2154;2015;4;19;17;8926.50
2155;2015;4;19;18;9207.50
2156;2015;4;19;19;9332.75
2157;2015;4;19;20;9491.75
2158;2015;4;19;21;9752.25
2159;2015;4;19;22;9720.50
2160;2015;4;19;23;9345.50
2161;2015;4;20;0;8657.75
2162;2015;4;20;1;8362.00
2163;2015;4;20;2;8158.75
2164;2015;4;20;3;8113.75
2165;2015;4;20;4;8226.75
2166;2015;4;20;5;8921.25
2167;2015;4;20;6;9997.25
2168;2015;4;20;7;10739.25
2169;2015;4;20;8;11133.00
2170;2015;4;20;9;11471.50
2171;2015;4;20;10;11548.75
2172;2015;4;20;11;11706.50
2173;2015;4;20;12;11350.25
2174;2015;4;20;13;11326.50
2175;2015;4;20;14;11258.75
2176;2015;4;20;15;11094.75
2177;2015;4;20;16;10945.25
2178;2015;4;20;17;10985.00
2179;2015;4;20;18;10892.25
2180;2015;4;20;19;10581.75
2181;2015;4;20;20;10519.00
2182;2015;4;20;21;10696.50
2183;2015;4;20;22;10565.25
2184;2015;4;20;23;10237.75
2185;2015;4;21;0;9391.25
2186;2015;4;21;1;8913.00
2187;2015;4;21;2;8713.00
2188;2015;4;21;3;8591.00
2189;2015;4;21;4;8692.75
2190;2015;4;21;5;9199.50
2191;2015;4;21;6;10193.50
2192;2015;4;21;7;10961.00
2193;2015;4;21;8;11271.75
2194;2015;4;21;9;11578.00
2195;2015;4;21;10;11633.75
2196;2015;4;21;11;11749.25
2197;2015;4;21;12;11431.75
2198;2015;4;21;13;11283.25
2199;2015;4;21;14;11152.25
2200;2015;4;21;15;11004.00
2201;2015;4;21;16;10900.75
2202;2015;4;21;17;10895.50
2203;2015;4;21;18;10815.00
2204;2015;4;21;19;10500.50
2205;2015;4;21;20;10331.75
2206;2015;4;21;21;10551.75
2207;2015;4;21;22;10478.50
2208;2015;4;21;23;10111.75
2209;2015;4;22;0;9368.25
2210;2015;4;22;1;8921.25
2211;2015;4;22;2;8663.75
2212;2015;4;22;3;8520.50
2213;2015;4;22;4;8555.00
2214;2015;4;22;5;8910.25
2215;2015;4;22;6;9756.75
2216;2015;4;22;7;10474.25
2217;2015;4;22;8;10881.00
2218;2015;4;22;9;11177.25
2219;2015;4;22;10;11201.25
2220;2015;4;22;11;11333.00
2221;2015;4;22;12;11250.75
2222;2015;4;22;13;11127.50
2223;2015;4;22;14;11017.25
2224;2015;4;22;15;10882.00
2225;2015;4;22;16;10701.75
2226;2015;4;22;17;10609.25
2227;2015;4;22;18;10489.50
2228;2015;4;22;19;10238.75
2229;2015;4;22;20;10166.25
2230;2015;4;22;21;10439.50
2231;2015;4;22;22;10449.75
2232;2015;4;22;23;10180.75
2233;2015;4;23;0;9442.75
2234;2015;4;23;1;8956.00
2235;2015;4;23;2;8657.75
2236;2015;4;23;3;8551.50
2237;2015;4;23;4;8702.25
2238;2015;4;23;5;9161.75
2239;2015;4;23;6;9991.75
2240;2015;4;23;7;10844.75
2241;2015;4;23;8;11251.75
2242;2015;4;23;9;11503.00
2243;2015;4;23;10;11515.00
2244;2015;4;23;11;11615.75
2245;2015;4;23;12;11286.50
2246;2015;4;23;13;11222.00
2247;2015;4;23;14;11081.75
2248;2015;4;23;15;10927.00
2249;2015;4;23;16;10786.25
2250;2015;4;23;17;10856.25
2251;2015;4;23;18;10737.50
2252;2015;4;23;19;10441.00
2253;2015;4;23;20;10186.25
2254;2015;4;23;21;10386.75
2255;2015;4;23;22;10399.00
2256;2015;4;23;23;10101.75
2257;2015;4;24;0;9227.75
2258;2015;4;24;1;8814.25
2259;2015;4;24;2;8504.25
2260;2015;4;24;3;8384.75
2261;2015;4;24;4;8503.25
2262;2015;4;24;5;9045.50
2263;2015;4;24;6;9935.25
2264;2015;4;24;7;10698.00
2265;2015;4;24;8;11185.50
2266;2015;4;24;9;11351.75
2267;2015;4;24;10;11365.75
2268;2015;4;24;11;11490.50
2269;2015;4;24;12;11257.00
2270;2015;4;24;13;11057.25
2271;2015;4;24;14;10872.75
2272;2015;4;24;15;10750.00
2273;2015;4;24;16;10574.00
2274;2015;4;24;17;10624.25
2275;2015;4;24;18;10537.00
2276;2015;4;24;19;10191.00
2277;2015;4;24;20;10041.25
2278;2015;4;24;21;10183.50
2279;2015;4;24;22;10294.50
2280;2015;4;24;23;9996.75
2281;2015;4;25;0;9183.75
2282;2015;4;25;1;8636.75
2283;2015;4;25;2;8240.50
2284;2015;4;25;3;8115.75
2285;2015;4;25;4;7947.00
2286;2015;4;25;5;7998.50
2287;2015;4;25;6;8177.00
2288;2015;4;25;7;8652.50
2289;2015;4;25;8;9368.25
2290;2015;4;25;9;9946.25
2291;2015;4;25;10;10219.50
2292;2015;4;25;11;10415.50
2293;2015;4;25;12;10399.75
2294;2015;4;25;13;10084.75
2295;2015;4;25;14;9765.25
2296;2015;4;25;15;9658.00
2297;2015;4;25;16;9578.50
2298;2015;4;25;17;9589.00
2299;2015;4;25;18;9581.00
2300;2015;4;25;19;9415.25
2301;2015;4;25;20;9298.25
2302;2015;4;25;21;9590.50
2303;2015;4;25;22;9507.00
2304;2015;4;25;23;9373.50
2305;2015;4;26;0;8755.50
2306;2015;4;26;1;8272.25
2307;2015;4;26;2;7873.25
2308;2015;4;26;3;7728.50
2309;2015;4;26;4;7690.25
2310;2015;4;26;5;7802.75
2311;2015;4;26;6;7792.25
2312;2015;4;26;7;7986.50
2313;2015;4;26;8;8551.50
2314;2015;4;26;9;9081.00
2315;2015;4;26;10;9473.75
2316;2015;4;26;11;9851.25
2317;2015;4;26;12;9930.25
2318;2015;4;26;13;9586.25
2319;2015;4;26;14;9273.25
2320;2015;4;26;15;9223.25
2321;2015;4;26;16;9206.00
2322;2015;4;26;17;9332.00
2323;2015;4;26;18;9587.75
2324;2015;4;26;19;9746.00
2325;2015;4;26;20;9729.00
2326;2015;4;26;21;9779.00
2327;2015;4;26;22;9680.25
2328;2015;4;26;23;9372.00
2329;2015;4;27;0;8725.50
2330;2015;4;27;1;8298.00
2331;2015;4;27;2;8036.00
2332;2015;4;27;3;7870.25
2333;2015;4;27;4;8001.00
2334;2015;4;27;5;8579.50
2335;2015;4;27;6;9613.25
2336;2015;4;27;7;10430.00
2337;2015;4;27;8;11021.25
2338;2015;4;27;9;11323.00
2339;2015;4;27;10;11457.50
2340;2015;4;27;11;11646.50
2341;2015;4;27;12;11335.00
2342;2015;4;27;13;11312.75
2343;2015;4;27;14;11204.50
2344;2015;4;27;15;11107.50
2345;2015;4;27;16;10961.75
2346;2015;4;27;17;11015.50
2347;2015;4;27;18;10920.00
2348;2015;4;27;19;10569.00
2349;2015;4;27;20;10311.75
2350;2015;4;27;21;10391.00
2351;2015;4;27;22;10560.50
2352;2015;4;27;23;10190.75
2353;2015;4;28;0;9425.25
2354;2015;4;28;1;8983.50
2355;2015;4;28;2;8624.50
2356;2015;4;28;3;8607.25
2357;2015;4;28;4;8750.00
2358;2015;4;28;5;9212.50
2359;2015;4;28;6;10042.00
2360;2015;4;28;7;10807.50
2361;2015;4;28;8;11167.25
2362;2015;4;28;9;11335.25
2363;2015;4;28;10;11361.00
2364;2015;4;28;11;11426.00
2365;2015;4;28;12;11316.50
2366;2015;4;28;13;11187.00
2367;2015;4;28;14;11059.75
2368;2015;4;28;15;10935.75
2369;2015;4;28;16;10880.50
2370;2015;4;28;17;10905.00
2371;2015;4;28;18;10805.25
2372;2015;4;28;19;10500.50
2373;2015;4;28;20;10262.50
2374;2015;4;28;21;10515.50
2375;2015;4;28;22;10622.75
2376;2015;4;28;23;10275.00
2377;2015;4;29;0;9408.25
2378;2015;4;29;1;8981.25
2379;2015;4;29;2;8718.75
2380;2015;4;29;3;8599.00
2381;2015;4;29;4;8726.75
2382;2015;4;29;5;9251.25
2383;2015;4;29;6;10130.25
2384;2015;4;29;7;10933.75
2385;2015;4;29;8;11344.25
2386;2015;4;29;9;11493.50
2387;2015;4;29;10;11463.50
2388;2015;4;29;11;11586.00
2389;2015;4;29;12;11433.00
2390;2015;4;29;13;11466.75
2391;2015;4;29;14;11353.00
2392;2015;4;29;15;11152.00
2393;2015;4;29;16;11045.50
2394;2015;4;29;17;11052.50
2395;2015;4;29;18;11001.00
2396;2015;4;29;19;10779.25
2397;2015;4;29;20;10549.00
2398;2015;4;29;21;10769.50
2399;2015;4;29;22;10736.00
2400;2015;4;29;23;10329.50
2401;2015;4;30;0;9653.50
2402;2015;4;30;1;9184.75
2403;2015;4;30;2;8849.50
2404;2015;4;30;3;8665.75
2405;2015;4;30;4;8776.25
2406;2015;4;30;5;9295.50
2407;2015;4;30;6;10053.00
2408;2015;4;30;7;10848.50
2409;2015;4;30;8;11298.75
2410;2015;4;30;9;11521.25
2411;2015;4;30;10;11614.75
2412;2015;4;30;11;11722.25
2413;2015;4;30;12;11471.75
2414;2015;4;30;13;11425.25
2415;2015;4;30;14;11241.25
2416;2015;4;30;15;11217.50
2417;2015;4;30;16;11099.75
2418;2015;4;30;17;11023.00
2419;2015;4;30;18;10830.50
2420;2015;4;30;19;10529.25
2421;2015;4;30;20;10303.50
2422;2015;4;30;21;10395.50
2423;2015;4;30;22;10575.25
2424;2015;4;30;23;10316.50
2425;2015;5;1;0;9506.25
2426;2015;5;1;1;8963.50
2427;2015;5;1;2;8564.00
2428;2015;5;1;3;8378.00
2429;2015;5;1;4;8285.25
2430;2015;5;1;5;8310.25
2431;2015;5;1;6;8322.00
2432;2015;5;1;7;8463.00
2433;2015;5;1;8;8831.75
2434;2015;5;1;9;9248.25
2435;2015;5;1;10;9465.75
2436;2015;5;1;11;9631.00
2437;2015;5;1;12;9557.50
2438;2015;5;1;13;9244.75
2439;2015;5;1;14;8944.75
2440;2015;5;1;15;8780.25
2441;2015;5;1;16;8712.25
2442;2015;5;1;17;8789.50
2443;2015;5;1;18;8911.50
2444;2015;5;1;19;8941.75
2445;2015;5;1;20;8907.00
2446;2015;5;1;21;9178.00
2447;2015;5;1;22;9520.25
2448;2015;5;1;23;9422.50
2449;2015;5;2;0;8724.75
2450;2015;5;2;1;8199.25
2451;2015;5;2;2;7823.25
2452;2015;5;2;3;7678.00
2453;2015;5;2;4;7645.75
2454;2015;5;2;5;7829.75
2455;2015;5;2;6;7973.00
2456;2015;5;2;7;8397.00
2457;2015;5;2;8;9082.00
2458;2015;5;2;9;9627.75
2459;2015;5;2;10;9809.75
2460;2015;5;2;11;9908.50
2461;2015;5;2;12;9887.75
2462;2015;5;2;13;9719.75
2463;2015;5;2;14;9524.00
2464;2015;5;2;15;9376.00
2465;2015;5;2;16;9316.50
2466;2015;5;2;17;9493.25
2467;2015;5;2;18;9633.50
2468;2015;5;2;19;9505.75
2469;2015;5;2;20;9319.00
2470;2015;5;2;21;9345.25
2471;2015;5;2;22;9438.50
2472;2015;5;2;23;9252.25
2473;2015;5;3;0;8510.25
2474;2015;5;3;1;8122.00
2475;2015;5;3;2;7731.25
2476;2015;5;3;3;7559.25
2477;2015;5;3;4;7516.75
2478;2015;5;3;5;7684.25
2479;2015;5;3;6;7699.25
2480;2015;5;3;7;7934.00
2481;2015;5;3;8;8509.00
2482;2015;5;3;9;9013.00
2483;2015;5;3;10;9317.50
2484;2015;5;3;11;9678.50
2485;2015;5;3;12;9818.75
2486;2015;5;3;13;9588.00
2487;2015;5;3;14;9303.25
2488;2015;5;3;15;9168.00
2489;2015;5;3;16;9042.25
2490;2015;5;3;17;9163.75
2491;2015;5;3;18;9359.25
2492;2015;5;3;19;9356.75
2493;2015;5;3;20;9188.50
2494;2015;5;3;21;9401.50
2495;2015;5;3;22;9512.75
2496;2015;5;3;23;9118.75
2497;2015;5;4;0;8528.50
2498;2015;5;4;1;8061.25
2499;2015;5;4;2;7872.25
2500;2015;5;4;3;7781.25
2501;2015;5;4;4;7939.25
2502;2015;5;4;5;8537.50
2503;2015;5;4;6;9416.25
2504;2015;5;4;7;10287.75
2505;2015;5;4;8;10862.25
2506;2015;5;4;9;11135.75
2507;2015;5;4;10;11274.25
2508;2015;5;4;11;11435.00
2509;2015;5;4;12;11183.25
2510;2015;5;4;13;11192.00
2511;2015;5;4;14;11104.75
2512;2015;5;4;15;10970.25
2513;2015;5;4;16;10843.50
2514;2015;5;4;17;10913.00
2515;2015;5;4;18;10859.75
2516;2015;5;4;19;10611.25
2517;2015;5;4;20;10488.00
2518;2015;5;4;21;10450.50
2519;2015;5;4;22;10367.50
2520;2015;5;4;23;9980.50
2521;2015;5;5;0;9220.75
2522;2015;5;5;1;8801.75
2523;2015;5;5;2;8375.75
2524;2015;5;5;3;8201.00
2525;2015;5;5;4;8221.75
2526;2015;5;5;5;8676.25
2527;2015;5;5;6;9431.75
2528;2015;5;5;7;10406.25
2529;2015;5;5;8;10833.75
2530;2015;5;5;9;11273.00
2531;2015;5;5;10;11397.75
2532;2015;5;5;11;11517.25
2533;2015;5;5;12;11209.25
2534;2015;5;5;13;11166.50
2535;2015;5;5;14;11126.75
2536;2015;5;5;15;10972.50
2537;2015;5;5;16;10760.00
2538;2015;5;5;17;10769.25
2539;2015;5;5;18;10690.25
2540;2015;5;5;19;10487.25
2541;2015;5;5;20;10266.50
2542;2015;5;5;21;10124.50
2543;2015;5;5;22;10336.50
2544;2015;5;5;23;9950.00
2545;2015;5;6;0;9162.50
2546;2015;5;6;1;8716.00
2547;2015;5;6;2;8320.50
2548;2015;5;6;3;8201.75
2549;2015;5;6;4;8334.00
2550;2015;5;6;5;8767.00
2551;2015;5;6;6;9525.50
2552;2015;5;6;7;10306.25
2553;2015;5;6;8;10789.25
2554;2015;5;6;9;11160.50
2555;2015;5;6;10;11221.00
2556;2015;5;6;11;11406.00
2557;2015;5;6;12;11239.00
2558;2015;5;6;13;11274.00
2559;2015;5;6;14;11058.00
2560;2015;5;6;15;10948.50
2561;2015;5;6;16;10849.50
2562;2015;5;6;17;10935.75
2563;2015;5;6;18;10714.00
2564;2015;5;6;19;10418.50
2565;2015;5;6;20;10176.50
2566;2015;5;6;21;10193.00
2567;2015;5;6;22;10421.00
2568;2015;5;6;23;10046.00
2569;2015;5;7;0;9233.25
2570;2015;5;7;1;8731.50
2571;2015;5;7;2;8435.25
2572;2015;5;7;3;8375.50
2573;2015;5;7;4;8497.25
2574;2015;5;7;5;8864.75
2575;2015;5;7;6;9661.50
2576;2015;5;7;7;10585.25
2577;2015;5;7;8;10997.75
2578;2015;5;7;9;11285.25
2579;2015;5;7;10;11445.50
2580;2015;5;7;11;11626.75
2581;2015;5;7;12;11396.50
2582;2015;5;7;13;11389.50
2583;2015;5;7;14;11311.25
2584;2015;5;7;15;11027.00
2585;2015;5;7;16;10928.75
2586;2015;5;7;17;10975.50
2587;2015;5;7;18;10850.25
2588;2015;5;7;19;10534.50
2589;2015;5;7;20;10273.25
2590;2015;5;7;21;10309.25
2591;2015;5;7;22;10504.75
2592;2015;5;7;23;10103.00
2593;2015;5;8;0;9349.75
2594;2015;5;8;1;8837.75
2595;2015;5;8;2;8536.50
2596;2015;5;8;3;8451.50
2597;2015;5;8;4;8504.00
2598;2015;5;8;5;8885.25
2599;2015;5;8;6;9713.00
2600;2015;5;8;7;10676.75
2601;2015;5;8;8;11054.25
2602;2015;5;8;9;11320.75
2603;2015;5;8;10;11358.75
2604;2015;5;8;11;11454.25
2605;2015;5;8;12;11227.25
2606;2015;5;8;13;11199.25
2607;2015;5;8;14;11134.25
2608;2015;5;8;15;10865.25
2609;2015;5;8;16;10648.25
2610;2015;5;8;17;10760.25
2611;2015;5;8;18;10501.75
2612;2015;5;8;19;10178.00
2613;2015;5;8;20;9992.50
2614;2015;5;8;21;9889.50
2615;2015;5;8;22;10110.25
2616;2015;5;8;23;9849.75
2617;2015;5;9;0;9091.25
2618;2015;5;9;1;8514.50
2619;2015;5;9;2;8150.00
2620;2015;5;9;3;7960.75
2621;2015;5;9;4;7896.00
2622;2015;5;9;5;7903.25
2623;2015;5;9;6;7892.75
2624;2015;5;9;7;8444.75
2625;2015;5;9;8;9104.25
2626;2015;5;9;9;9648.50
2627;2015;5;9;10;9925.25
2628;2015;5;9;11;10025.00
2629;2015;5;9;12;9895.75
2630;2015;5;9;13;9639.50
2631;2015;5;9;14;9434.00
2632;2015;5;9;15;9411.50
2633;2015;5;9;16;9360.75
2634;2015;5;9;17;9354.00
2635;2015;5;9;18;9367.25
2636;2015;5;9;19;9268.50
2637;2015;5;9;20;9125.00
2638;2015;5;9;21;9167.25
2639;2015;5;9;22;9356.25
2640;2015;5;9;23;9153.75
2641;2015;5;10;0;8533.00
2642;2015;5;10;1;8130.75
2643;2015;5;10;2;7700.00
2644;2015;5;10;3;7573.75
2645;2015;5;10;4;7537.50
2646;2015;5;10;5;7587.50
2647;2015;5;10;6;7528.75
2648;2015;5;10;7;7898.75
2649;2015;5;10;8;8567.25
2650;2015;5;10;9;9056.00
2651;2015;5;10;10;9283.75
2652;2015;5;10;11;9419.00
2653;2015;5;10;12;9263.00
2654;2015;5;10;13;8916.25
2655;2015;5;10;14;8632.75
2656;2015;5;10;15;8542.75
2657;2015;5;10;16;8400.75
2658;2015;5;10;17;8534.50
2659;2015;5;10;18;8622.00
2660;2015;5;10;19;8850.75
2661;2015;5;10;20;8959.50
2662;2015;5;10;21;9168.25
2663;2015;5;10;22;9339.50
2664;2015;5;10;23;9003.00
2665;2015;5;11;0;8339.00
2666;2015;5;11;1;7993.00
2667;2015;5;11;2;7782.25
2668;2015;5;11;3;7796.50
2669;2015;5;11;4;7915.75
2670;2015;5;11;5;8357.50
2671;2015;5;11;6;9183.75
2672;2015;5;11;7;10135.50
2673;2015;5;11;8;10679.50
2674;2015;5;11;9;11054.50
2675;2015;5;11;10;11153.50
2676;2015;5;11;11;11320.00
2677;2015;5;11;12;11137.00
2678;2015;5;11;13;11068.75
2679;2015;5;11;14;10983.00
2680;2015;5;11;15;10844.00
2681;2015;5;11;16;10844.50
2682;2015;5;11;17;10855.75
2683;2015;5;11;18;10690.25
2684;2015;5;11;19;10379.50
2685;2015;5;11;20;10034.75
2686;2015;5;11;21;9969.00
2687;2015;5;11;22;10228.50
2688;2015;5;11;23;9656.25
2689;2015;5;12;0;9013.00
2690;2015;5;12;1;8676.25
2691;2015;5;12;2;8378.75
2692;2015;5;12;3;8252.75
2693;2015;5;12;4;8334.50
2694;2015;5;12;5;8727.25
2695;2015;5;12;6;9415.75
2696;2015;5;12;7;10286.25
2697;2015;5;12;8;10852.50
2698;2015;5;12;9;11107.75
2699;2015;5;12;10;11124.50
2700;2015;5;12;11;11324.25
2701;2015;5;12;12;11039.25
2702;2015;5;12;13;11125.25
2703;2015;5;12;14;10887.50
2704;2015;5;12;15;10793.25
2705;2015;5;12;16;10675.00
2706;2015;5;12;17;10672.00
2707;2015;5;12;18;10619.75
2708;2015;5;12;19;10276.75
2709;2015;5;12;20;9986.50
2710;2015;5;12;21;10035.25
2711;2015;5;12;22;10255.25
2712;2015;5;12;23;9851.00
2713;2015;5;13;0;9083.25
2714;2015;5;13;1;8556.50
2715;2015;5;13;2;8309.25
2716;2015;5;13;3;8143.50
2717;2015;5;13;4;8283.50
2718;2015;5;13;5;8742.75
2719;2015;5;13;6;9362.00
2720;2015;5;13;7;10313.00
2721;2015;5;13;8;10908.25
2722;2015;5;13;9;11237.25
2723;2015;5;13;10;11313.50
2724;2015;5;13;11;11383.25
2725;2015;5;13;12;11144.50
2726;2015;5;13;13;11101.00
2727;2015;5;13;14;10946.50
2728;2015;5;13;15;10883.75
2729;2015;5;13;16;10768.50
2730;2015;5;13;17;10631.50
2731;2015;5;13;18;10426.25
2732;2015;5;13;19;10106.50
2733;2015;5;13;20;9687.75
2734;2015;5;13;21;9662.50
2735;2015;5;13;22;9967.00
2736;2015;5;13;23;9649.25
2737;2015;5;14;0;8960.25
2738;2015;5;14;1;8459.75
2739;2015;5;14;2;8016.25
2740;2015;5;14;3;7927.25
2741;2015;5;14;4;7804.00
2742;2015;5;14;5;7660.00
2743;2015;5;14;6;7683.00
2744;2015;5;14;7;7969.25
2745;2015;5;14;8;8357.00
2746;2015;5;14;9;8686.75
2747;2015;5;14;10;8933.75
2748;2015;5;14;11;9244.75
2749;2015;5;14;12;9315.75
2750;2015;5;14;13;9155.50
2751;2015;5;14;14;8876.75
2752;2015;5;14;15;8790.75
2753;2015;5;14;16;8854.25
2754;2015;5;14;17;9070.00
2755;2015;5;14;18;9250.50
2756;2015;5;14;19;9273.75
2757;2015;5;14;20;9084.25
