Timestep;Y;M;D;H;AvgOfRealTime
174;2015;1;27;5;10069.50
175;2015;1;27;6;11237.00
176;2015;1;27;7;12199.00
177;2015;1;27;8;12396.50
178;2015;1;27;9;12383.50
179;2015;1;27;10;12454.75
180;2015;1;27;11;12574.50
181;2015;1;27;12;12378.00
182;2015;1;27;13;12377.00
183;2015;1;27;14;12257.50
184;2015;1;27;15;12136.50
185;2015;1;27;16;12053.00
186;2015;1;27;17;12617.00
187;2015;1;27;18;13102.50
188;2015;1;27;19;12635.00
189;2015;1;27;20;11946.50
190;2015;1;27;21;11352.00
191;2015;1;27;22;11421.50
192;2015;1;27;23;11369.75
193;2015;1;28;0;10753.75
194;2015;1;28;1;10251.00
195;2015;1;28;2;9942.25
196;2015;1;28;3;9736.25
197;2015;1;28;4;9705.50
198;2015;1;28;5;10088.00
199;2015;1;28;6;11171.25
200;2015;1;28;7;12089.50
201;2015;1;28;8;12479.75
202;2015;1;28;9;12388.00
203;2015;1;28;10;12244.25
204;2015;1;28;11;12703.00
205;2015;1;28;12;12584.25
206;2015;1;28;13;12677.50
207;2015;1;28;14;12636.00
208;2015;1;28;15;12628.75
209;2015;1;28;16;12603.25
210;2015;1;28;17;13008.75
211;2015;1;28;18;13135.25
212;2015;1;28;19;12601.75
213;2015;1;28;20;11966.75
214;2015;1;28;21;11411.75
215;2015;1;28;22;11595.00
216;2015;1;28;23;11572.25
217;2015;1;29;0;10955.50
218;2015;1;29;1;10500.50
219;2015;1;29;2;10151.25
220;2015;1;29;3;9885.75
221;2015;1;29;4;9852.50
222;2015;1;29;5;10185.50
223;2015;1;29;6;11268.50
224;2015;1;29;7;12278.50
225;2015;1;29;8;12504.75
226;2015;1;29;9;12524.50
227;2015;1;29;10;12482.75
228;2015;1;29;11;12617.75
229;2015;1;29;12;12374.27
230;2015;1;29;13;12315.50
231;2015;1;29;14;12226.75
232;2015;1;29;15;12242.25
233;2015;1;29;16;12684.13
234;2015;1;29;17;13126.00
235;2015;1;29;18;13016.75
236;2015;1;29;19;12528.00
237;2015;1;29;20;11926.75
238;2015;1;29;21;11399.50
239;2015;1;29;22;11683.75
240;2015;1;29;23;11679.50
241;2015;1;30;0;11153.50
242;2015;1;30;1;10700.00
243;2015;1;30;2;10298.50
244;2015;1;30;3;10083.50
245;2015;1;30;4;10008.75
246;2015;1;30;5;10403.00
247;2015;1;30;6;11430.50
248;2015;1;30;7;12414.75
249;2015;1;30;8;12671.50
