Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
111;2015;1;24;14;589.04;712.2;0.827071047
112;2015;1;24;15;505.84;712.2;0.71024993
113;2015;1;24;16;543.27;712.2;0.762805392
114;2015;1;24;17;514.76;712.2;0.722774502
115;2015;1;24;18;496.61;712.2;0.697290087
116;2015;1;24;19;460.06;712.2;0.645970233
117;2015;1;24;20;500.04;712.2;0.70210615
118;2015;1;24;21;509.54;712.2;0.7154451
119;2015;1;24;22;508.64;712.2;0.71418141
120;2015;1;24;23;429.18;712.2;0.602611626
121;2015;1;25;0;316.19;712.2;0.44396237
122;2015;1;25;1;350.31;712.2;0.491870261
123;2015;1;25;2;249.26;712.2;0.349985959
124;2015;1;25;3;147.53;712.2;0.207146869
125;2015;1;25;4;112.07;712.2;0.157357484
126;2015;1;25;5;114.68;712.2;0.161022185
127;2015;1;25;6;116.14;712.2;0.163072171
128;2015;1;25;7;109.92;712.2;0.154338669
129;2015;1;25;8;109.01;712.2;0.153060938
130;2015;1;25;9;130.65;712.2;0.183445661
131;2015;1;25;10;158.69;712.2;0.222816625
132;2015;1;25;11;141.56;712.2;0.198764392
133;2015;1;25;12;135.12;712.2;0.189721988
134;2015;1;25;13;222.9;712.2;0.312973884
135;2015;1;25;14;314.3;712.2;0.441308621
136;2015;1;25;15;379.31;712.2;0.53258916
137;2015;1;25;16;362.38;712.2;0.508817748
138;2015;1;25;17;318.25;712.2;0.446854816
139;2015;1;25;18;356.95;712.2;0.501193485
140;2015;1;25;19;355.3;712.2;0.49887672
141;2015;1;25;20;366.48;712.2;0.514574558
142;2015;1;25;21;342.92;712.2;0.481493962
143;2015;1;25;22;284.19;712.2;0.399031171
144;2015;1;25;23;280.21;712.2;0.393442853
145;2015;1;26;0;310.92;712.2;0.436562763
146;2015;1;26;1;252.66;712.2;0.354759899
147;2015;1;26;2;239.13;712.2;0.335762426
148;2015;1;26;3;227.06;712.2;0.31881494
149;2015;1;26;4;196.68;712.2;0.276158382
150;2015;1;26;5;255.12;712.2;0.358213985
151;2015;1;26;6;304.32;712.2;0.427295703
152;2015;1;26;7;266.87;712.2;0.37471216
153;2015;1;26;8;249.12;712.2;0.349789385
154;2015;1;26;9;330.78;712.2;0.464448189
155;2015;1;26;10;364.19;712.2;0.511359169
156;2015;1;26;11;484.38;712.2;0.680117944
157;2015;1;26;12;460.68;712.2;0.646840775
158;2015;1;26;13;381.85;712.2;0.536155574
159;2015;1;26;14;277.99;712.2;0.390325751
160;2015;1;26;15;459.26;712.2;0.644846953
161;2015;1;26;16;536.02;712.2;0.752625667
162;2015;1;26;17;566.18;712.2;0.794973322
163;2015;1;26;18;614.94;712.2;0.863437237
164;2015;1;26;19;646.92;712.2;0.908340354
165;2015;1;26;20;659.38;712.2;0.925835439
166;2015;1;26;21;650.87;712.2;0.913886549
167;2015;1;26;22;611.52;712.2;0.858635215
168;2015;1;26;23;546.57;712.2;0.767438922
169;2015;1;27;0;460.83;712.2;0.64705139
170;2015;1;27;1;455.93;712.2;0.6401713
171;2015;1;27;2;335.46;712.2;0.471019377
172;2015;1;27;3;282.59;712.2;0.396784611
173;2015;1;27;4;302.63;712.2;0.424922775
174;2015;1;27;5;337.84;712.2;0.474361135
175;2015;1;27;6;290.45;712.2;0.407820837
176;2015;1;27;7;222.61;712.2;0.312566695
177;2015;1;27;8;113.02;712.2;0.158691379
178;2015;1;27;9;164.01;712.2;0.230286436
179;2015;1;27;10;133.81;712.2;0.187882617
180;2015;1;27;11;179.05;712.2;0.2514041
181;2015;1;27;12;105.89;712.2;0.148680146
182;2015;1;27;13;67.81;712.2;0.095212019
183;2015;1;27;14;48.47;712.2;0.068056726
184;2015;1;27;15;63.27;712.2;0.088837405
185;2015;1;27;16;81.4;712.2;0.114293738
186;2015;1;27;17;75.47;712.2;0.105967425
187;2015;1;27;18;60.52;712.2;0.08497613
188;2015;1;27;19;103.84;712.2;0.145801741
189;2015;1;27;20;132.35;712.2;0.185832631
